Taxa,Patient_01,Patient_02,Patient_03,Patient_04,Patient_05,Patient_06,Patient_07,Patient_08,Patient_09,Patient_10,Patient_11,Patient_12,Patient_13,Patient_14,Patient_15,Patient_16,Patient_17,Patient_18,Patient_19,Patient_20,Patient_21,Patient_22,Patient_23,Patient_24,Patient_25,Patient_26,Patient_27,Patient_28,Patient_29,Patient_30,Patient_31,Patient_32,Patient_33,Patient_34,Patient_35
Bacteroides_vulgatus,868400,0,9589300,221900,0,7217200,9100,607100,1018900,4902700,4204600,88900,3731700,58600,3453000,852100,0,3782500,119200,955900,2510300,1876000,14333200,16084600,340900,184400,5681600,1881100,0,1616100,538700,30600,1485400,0,2273000
Bacteroides_uniformis,0,1203300,5000,466800,1251700,549000,2832300,2564900,629100,6840100,1691700,11800300,0,0,0,3033300,2505800,96500,4832100,38066600,1936200,4321600,79800,54254700,13856000,8249500,0,4201600,16716100,8997500,2574200,40480800,20056400,95425000,27872500
Bacteroides_thetaiotaomicron,7828800,1325800,12824600,7268300,379700,0,18500,7836700,7276900,1648600,151700,3856500,0,216900,2796800,3720300,1668200,114100,2522300,302800,1121300,2107900,646800,2688500,9944200,5950900,90000,0,6856100,2417300,629200,276300,7227900,41000,0
Faecalibacterium_prausnitzii,33626600,1800,10401700,26100,2628600,0,2156500,9529000,14472000,100,2533500,19416300,5620900,1824800,295000,30123400,71800,2783400,1260200,28706800,7298100,374800,13801700,15592900,0,0,67400,0,8858100,196800,2936100,1629800,833700,3307100,282700
Roseburia_faecis,206100,0,0,897900,14446100,1611700,7613800,1600,89500,222900,0,0,7065000,116000,104200,6346200,3954700,23648400,1572500,1160700,15114700,2776700,2374900,123000,14800600,194600,0,664800,6820000,7641100,102200,623700,1167800,272900,2742000
Bacteroides_caccae,20800,2555000,3804800,0,3022300,9532100,15690700,1529700,0,50800,1800,7683700,443500,10931700,16692200,605300,3900,1178700,2514000,12312700,0,0,289900,400,897900,13315500,5208400,0,1830100,3814200,3007400,6072000,5503900,8621600,28400
Clostridium_clostridioforme,0,7702800,61200,4416200,3724200,8050000,0,39685800,89400,13027700,451200,74600,1076600,291000,0,4081300,23775000,3638500,0,8969300,10811900,0,11951900,3572400,3798800,1684700,0,52113800,19200,21551100,8104800,6212100,0,24397400,9645700
Bacteroides_fragilis,5663700,22341500,10669000,3146800,361100,12958200,2910700,0,1238600,8015000,10900,22438000,222100,18085600,8887700,1154100,24953800,323700,6097300,110900,1831800,41200,24700,0,0,4720100,1736900,6709600,6782200,376000,7214800,0,158100,2236000,1920000
Fusicatenibacter_saccharivorans,43556900,2261700,892600,16288800,2157600,30745800,25190700,10300200,30026900,4266400,0,5069300,6781300,2626700,2186600,1564000,822300,0,0,0,44756100,0,0,26609100,16056300,97530700,3847000,280200,26740600,3532100,19400,3808000,22283100,47589800,1883000
Flavonifractor_plautii,35821500,46133800,0,21603500,3349600,16421600,21039300,298300,2238500,8897500,9635300,0,9660700,7444500,0,16626600,29949100,29325800,2751300,51326500,0,36210600,12709600,28385400,1415500,29763000,2973200,17200,0,1271100,1645200,112773500,5094100,7684900,38533000
Ruminococcus_bicirculans,820800,280100,366400,3345500,3071900,4430900,1647000,0,124000,498800,0,69800,0,1613800,5136000,5183900,1852300,0,15400,54200,0,7645600,207300,196900,740000,7486000,714500,338500,14365500,161800,8700,5700,898200,5000,1739500
Blautia_sp_CAG_257,3660400,1965900,29904600,0,10908500,1959000,0,0,0,78280100,5159000,17265800,265500,548300,2601900,4392200,4460400,101123600,101600,0,12496600,9304600,5214800,1251600,1184700,19288100,6577900,8077400,4370100,901400,30900,2045600,10254700,0,9675400
Ruminococcus_gnavus,170600,21800,3349200,3380400,0,14888000,836800,2667600,353900,5947600,6894900,988000,4507400,2716500,1517600,5809800,2667500,2593700,3371400,3366100,12287100,22000,0,1057200,8638100,0,415500,4933600,29500,4124200,90000,470100,0,0,3776100
Eubacterium_hallii,7739600,9976400,27353100,4829600,0,389100,4098700,0,502900,3038000,19592800,31885000,54795300,2860300,6046000,4477900,971300,0,22319400,17179600,7935200,3834800,23084300,4896100,6170100,2873400,0,12338900,3538900,27400,0,5352300,10904600,470600,7703200
Clostridium_bolteae,5984700,55208700,19669900,383800,2664300,0,122200,0,7885000,14065500,30107300,6808000,11226200,1047800,4399700,9592100,44400,1297200,87600,3989400,0,4509600,227200,6750300,1328700,0,2315200,347900,169600,3163500,0,6140800,1268600,78900,2871900
Anaerostipes_hadrus,2177900,12667500,27846500,38837400,10446700,10686400,0,1187700,9988000,21939400,19700400,0,0,18876600,553900,3860800,0,56879000,12143300,264200,6671300,1985800,0,902100,90041500,49025100,1930400,22703200,5656300,0,4173200,14044700,0,12918400,13842200
Anaerotignum_lactatifermentans,0,1716600,101200,14044100,715000,1789100,107100,1280000,71100,6026400,352100,0,217500,2088000,1277400,82200,362500,5547700,0,0,0,315900,1252000,651000,208400,1161200,350100,671100,7027400,11000,6375900,242300,21400,1064200,737100
Roseburia_hominis,1699700,4900,0,0,279000,46300,4174800,3653400,35500,10200,3228300,436200,1062200,3857700,230600,1365400,493000,2781700,5900,1500,0,359100,1154500,4003100,740500,2141000,163800,4681000,2297500,646100,927000,11527100,1455000,1001600,943200
Bifidobacterium_longum,137894200,40178200,3350900,36484400,27529800,68522200,29505400,33843400,98659000,9012300,722700,16838300,13457100,3669800,7260300,54441800,401900,132900,10191900,26251500,45737900,1450500,6147400,64836900,6249100,12093500,4291200,11798600,1041900,0,10558900,79500,2131000,840000,23766200
Roseburia_inulinivorans,58700,1759000,17586200,28000,3977800,7249000,6059200,18556100,989300,4600,3748100,1700,3600,19072600,2645400,1506200,6420600,5165000,19046400,1395200,0,3862200,5388700,1468400,3130300,0,4255700,3321600,104000,5029600,17785200,0,0,170900,1159000
Bacteroides_cellulosilyticus,0,19503600,34713000,151100,7594100,3378400,3687500,40900,104800,646900,122000,8395700,351800,4412000,102200,1357300,3143200,5994300,1334900,2648500,3135600,1864700,4140400,1167900,46919900,194900,449700,415100,4586000,1019700,0,438100,470600,5615900,6497600
Bacteroides_ovatus,3768400,23800,1542900,5028600,31956700,9400,0,0,15857800,48968100,113900,7605800,335000,1024600,17361900,14057800,0,100388800,2751200,9374000,16240700,3653400,20804200,15335200,943000,0,26700,75885100,0,21944300,1104200,2071200,0,168400,0
Blautia_wexlerae,0,572100,23010900,9470600,56722200,2082100,7906700,12670400,1795500,0,0,4515900,875100,13100,70123900,24277800,0,13907800,1216700,3356400,11950900,3042000,50921800,5114300,40775300,9789800,70400,3741300,978300,8636800,37702700,0,2924000,2587400,0
Bifidobacterium_adolescentis,0,1480700,94500,15331100,506900,6029200,524600,20062100,10115100,4994800,1087500,868700,2146300,0,226500,9964700,359700,907600,0,736200,2076800,2241800,1445000,22823900,3409700,10461200,6724400,27664000,24500,233100,14629000,0,0,3122600,2264400
Eubacterium_eligens,1373800,339500,64400,3514500,7200,3447700,799400,757100,134500,0,31600,125200,0,309100,1675500,322000,94800,1034100,280400,1453600,888200,7900,2461000,257100,29900,1577500,362600,126200,144900,320800,450800,247900,627700,261400,923000
Clostridium_leptum,607800,6211800,29500,8266700,6737900,583500,244100,500,13739000,435900,0,1075100,108100,1228000,3911000,271200,4518200,6274500,2318700,11222000,3795900,7300,0,358900,221300,10618200,0,2952200,248500,2573600,2474100,2506300,1188900,0,23187100
Akkermansia_muciniphila,11330800,287600,16700,2371100,650600,9510800,22100,1192400,2660600,91700,6530000,0,0,7825900,1955200,2971900,0,3100,34000,1143500,88100,61300,0,5347400,3494000,1102200,544300,1493400,0,1031700,8854200,8043100,0,194800,236600
Ruminococcus_torques,14300,18918400,6434900,7587700,719200,46600,392600,4352400,1634500,0,26088900,933400,4936200,0,338400,350700,1402400,1576100,14400,203600,254500,0,1166100,700,1681400,0,9555300,9904000,400,0,116900,9028900,23901800,407800,17527100
Bacteroides_eggerthii,5885100,3505200,1133100,11401800,376400,0,34500,1463900,760500,3724300,321400,0,1024200,1027400,5080300,0,0,593000,0,0,275300,16000,1830200,2745700,150900,101200,389500,2800000,900,941800,1037700,1057100,4850900,3814300,5175200
Alistipes_shahii,0,10348800,407100,84800,674300,0,1534400,0,603200,7610500,0,11747000,0,0,2065100,3114100,43000,7388100,486800,14129700,0,10529500,0,468600,3955500,586900,765800,3152200,12000,1329500,452200,287500,0,618800,19500
